Average retail price of electricity monthly,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=0002&endsec=vg&linechart=ELEC.PRICE.NY-ALL.M~ELEC.PRICE.NY-RES.M~ELEC.PRICE.NY-COM.M~ELEC.PRICE.NY-IND.M~ELEC.PRICE.NY-TRA.M&columnchart=ELEC.PRICE.NY-ALL.M&map=ELEC.PRICE.NY-ALL.M&freq=M&start=200101&end=201706&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=,,,,
07:55:57 GMT-0400 (Eastern Daylight Time),,,,,
Data source: U.S. Energy Information Administration,,,,,
Month,New York : all sectors cents per kilowatthour,New York : residential cents per kilowatthour,New York : commercial cents per kilowatthour,New York : industrial cents per kilowatthour,New York : transportation cents per kilowatthour
17-Jun,15.7,18.77,15.96,6.16,13.77
17-May,14.65,18.5,14.54,6.23,12.85
17-Apr,13.81,17.31,13.78,5.9,11.92
17-Mar,14.2,17.02,14.21,5.89,12.14
17-Feb,13.81,17.48,13.42,4.98,11.92
17-Jan,14.22,17.3,13.87,5.92,11.9
16-Dec,13.97,17.18,13.75,5.82,11.95
16-Nov,14.18,17.75,14,6.62,11.23
16-Oct,14.88,18.27,14.89,5.99,11.84
16-Sep,15.69,18.38,15.79,6.18,12.78
16-Aug,15.55,18,15.57,6.28,13.02
16-Jul,15.42,17.94,15.68,5.56,12.55
16-Jun,15,17.89,15.12,6.73,12.54
16-May,13.8,17.73,13.59,5.75,11.47
16-Apr,13.85,17.39,13.79,5.96,11.8
16-Mar,13.76,16.89,13.58,5.99,11.59
16-Feb,13.76,16.76,13.59,6.11,11.71
16-Jan,13.59,16.54,13.43,5.51,12.11
15-Dec,14.09,17.5,13.91,5.72,12.58
15-Nov,14.19,18.23,14.04,5.87,12.14
15-Oct,15.08,18.3,15.33,6.3,12.73
15-Sep,15.79,18.38,16.13,6.53,13.38
15-Aug,15.76,18.38,15.96,6.33,13.4
15-Jul,15.91,18.71,16.2,6.25,13.38
15-Jun,15.45,18.76,16.29,6.01,13.64
15-May,14.72,18.06,14.51,5.76,12.2
15-Apr,14.39,17.72,14.46,6.31,12.35
15-Mar,15.91,18.92,15.81,7.51,12.68
15-Feb,16.07,19.75,15.73,6.85,13.14
15-Jan,15.36,19.28,14.68,6.24,13.72
14-Dec,15.38,19.26,14.89,6.17,13.59
14-Nov,15.34,19.45,15.29,6.24,12.55
14-Oct,15.59,19.43,15.84,6.09,13.48
14-Sep,16.38,19.41,16.82,6.47,15.04
14-Aug,16.27,19.51,16.37,6.42,14.2
14-Jul,16.89,20.48,16.78,6.47,14.32
