PVWatts: Hourly PV Performance Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested Location:,lake titicaca bolivia,,,,,,,,,,,,,,,,,,,,,,,20000 Gallon Plastic Water Storage Tank,20000 Gallons,"165""","242""",N-43825,"$19,999.99",,#VALUE!,,,,,,,,,,,,,,,
Location:,"LA PAZ, BOLIVIA",,0.888888889,,,,,,,,,,,,,,,,,,,,,15000 Gallon Plastic Water Storage Tank,15000 Gallons,"165""","186""",N-43821,"$15,999.99",,,,,,,,,,,,,,,,,
Lat (deg S):,16.52,,,,,,,,,,,,,,,,,,,,,,,13000 Gallon Plastic Water Storage Tank,13000 Gallons,"144""","198""",N-44015,"$10,999.99",,,,,,,,,,,,,,,,,
Long (deg W):,68.18,,,,,,,,,,,,,,,,,,,,,,,15500 Gallon Plastic Water Storage Tank,15500 Gallons,"141""","244""",N-44814,"$9,999.99",,,,,,,,,,,,,,,,,
Elev (m):,4042,,,,,,,,,,,,,,,,,,,,,,,12500 Gallon Plastic Water Storage Tank,12500 Gallons,"142""","208""",A-VT12500-142,"$9,849.00",,,,,,,,,,,,,,,,,
DC System Size (kW):,6.4,,,,,,,,,,,,,,,,,,,,,,,12000 Gallon Plastic Water Storage Tank,12000 Gallons,"142""","196.5""",RP-550671,"$8,894.95",,,,,,,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,,,,,,,,,,,,,12500 Gallon Plastic Water Storage Tank,12500 Gallons,"142""","202""",DC-912500-1.2,"$8,825.95",,,,,,,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,,,,,,,,,,,,,10500 Gallon Plastic Water Storage Tank,10500 Gallons,"142""","169.75""",SII-WG101,"$7,445.99",,,,,,,,,,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,,,,,,,,,,,,,,,12000 Gallon Plastic Water Storage Tank,12000 Gallons,"141""","193""",N-44810,"$7,399.99",,,,,,,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,,,,,,,,,,,,,10000 Gallon Plastic Water Storage Tank,10000 Gallons,"144""","161""",SII-WG100,"$7,217.99",,,,,,,,,,,,,,,,,
System Losses:,8.68,,,,,,,,,,,,,,,,,,,,,,,10000 Gallon Green Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,,,,,,,,,,,,,Ships Immediately!,10000 Gallons,"141""","160""",9513-N-41379,"$7,199.99",,,,,,,,,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,,,,,,,,,,,,,,,10000 Gallon Plastic Water Storage Tank,10000 Gallons,"144""","178""",EP-TLV10000DG,"$6,565.00",,,,,,,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.12,,,,,,,,,,,,,,,,,,,,,,,11000 Gallon Plastic Water Storage Tank,11000 Gallons,"144""","167""",N-44013,"$6,399.99",,,,,,,,,,,,,,,,,
Capacity Factor (%),"13.4	",,,,,,,,,,,8544,,,,,,,,,,,,10000 Gallon Plastic Water Storage Tank,10000 Gallons,"142""","166.5""",RP-550670,"$5,994.95",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10000 Gallon Plastic Water Storage Tank,10000 Gallons,"142""","165""",DC-910000-1.2,"$5,992.95",,,,,,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,Kw/average day,Average hours of sun per day,Cost per w = $3,,,,,,,,,,10000 Gallon Plastic Water Storage Tank,10000 Gallons,"141""","160""",N-43132,"$5,699.99",,,,,,,,,,,,,,,,,
1,1,0,0,0,4.5,0,0,4.5,0,0,,1.754705407,,"$19,200.00",,,,,,,,,,8000 Gallon Plastic Water Storage Tank,8000 Gallons,"144""","142""",EP-TLV08000DG,"$5,173.00",,,,,,,,,,,,,,,,,
1,1,1,0,0,4.4,0,0,4.4,0,0,,,,,,,,,,,,,,8000 Gallon Plastic Water Storage Tank,8000 Gallons,"120""","188""",DC-908000-1.2,"$4,974.00",,,,,,,,,,,,,,,,,
1,1,2,0,0,4.4,0,0,4.4,0,0,,,,,,,,,,,,,,8000 Gallon Plastic Water Storage Tank,8000 Gallons,"120""","183""",RP-550669,"$4,688.99",,,,,,,,,,,,,,,,,
1,1,3,0,0,4.5,0,0,4.5,0,0,,0.505149813,12.12359551,,,,,,,,,,,7750 Gallon Plastic Water Storage Tank,7750 Gallons,"144""","122""",N-44121,"$4,499.99",,,,,,,,,,,,,,,,,
1,1,4,0,0,4.6,0,0,4.6,0,0,,,,,,,,,,,,,,7000 Gallon Plastic Water Storage Tank,7011 Gallons,"144""","126""",EP-TLV07011DG,"$4,104.00",,,,,,,,,,,,,,,,,
1,1,5,0,0,4.6,0,0,4.6,0,0,,,,,,,,,,,,,,6500 Gallon Plastic Water Storage Tank,6500 Gallons,"120""","149""",DC-906501-1.2,"$4,070.00",,,,,,,,,,,,,,,,,
1,1,6,0,13,5.2,0,11.481,1.494,74.51,37.535,,,,,,,,,,,,,,6500 Gallon Plastic Water Storage Tank,6500 Gallons,"120""","152""",RP-550668,"$3,704.99",,,,,,,,,,,,,,,,,
