Water System Name,Population Served,Pb + Cu Rule,Radionucleotides,Long Term 2,Surface Water Rule,Stage 1+2,Total Coliform,Volatile Organic Chemical,Synthetic Organics,Nitrates,Source Type,System Address,Contact Phone,Cities Served,Counties Served
YAHUECAS,"2,840",0,0,0,4 (known),0,0,0,0,0,Surface water,"PO BOX 7080
BO. OBRERO STATION
SANTURCE, PR 00601",787-758-5454,ADJUNTAS,Adjuntas Municipio
GARZAS,"2,782",1,0,0,0,2,0,0,0,0,Surface water,"CARR. 10 KM. 29.3
ADJUNTAS, PR 00601",787-620-2277,ADJUNTAS,Adjuntas Municipio
SABANA GRANDE,"2,707",0,0,0,0,0,0,0,0,0,Surface water,"CARR. 611 KM. 7.1
UTUADO, PR 00641",787-620-2277,"UTAUDO, UTUADO",Utuado Municipio
SANAMUERTO,"2,391",1,0,0,0,0,0,0,0,0,Surface water,"CARR. 567 KM. 1.2 INT.
MOROVIS, PR 00720",787-620-2277,"MOROVIS, OROCOVIS","Morovis Municipio, Orocovis Municipio"
MATRULLA,"2,350",1,0,0,0,0,0,0,0,0,Surface water,"CARR. 143 KM.33.8
OROCOVIS, PR 00916",787-620-2277,OROCOVIS,Orocovis Municipio
INDIERA ALTA,"2,273",1,0,0,0,2,0,0,0,0,Surface water,"
ROAD 428 KM 1
MARICAO, PR 00706",,MARICAO,Maricao Municipio
ACUED. BO. GUAYABOTA,"2,268",0,0,0,0,0,0,0,0,0,Surface water,"CARR. 182 KM. 12.3
BO. GUAYABOTA
YABUCOA, PR 00767",787-893-2688,YABUCOA,Yabucoa Municipio
MAMEYES ARRIBA,"2,152",2,0,0,0,0,0,0,0,0,Surface water,"CARR. 530 KM. 1.2 INT.
JAYUYA, PR 00664",787-620-2277,"JAYUYA, MAMEYES ARRIBA",Jayuya Municipio
GUILARTE,"2,090",1,0,0,1,0,0,0,0,0,Surface water,"CARR. 131 KM.2.5
ADJUNTAS, PR 00601",787-620-2277,ADJUNTAS,Adjuntas Municipio
ESPINO,"2,072",0,0,0,0,0,0,0,0,0,Surface water,"CARR. 124 KM. 17.7 INT.
LAS MARIAS, PR 00670",787-620-2277,"ESPINO, SAN LORENZO",San Lorenzo Municipio
LAS DELICIAS,"1,916",1,0,0,0,0,0,0,0,0,Surface water,"CARR. 149 KM. 30.0 INT.
CIALES, PR 00638",787-620-2277,CIALES,Ciales Municipio
